CustomerKey;GeographyKey;FullName;Age;MaritalStatus;Gender;YearlyIncome;IncomeCat;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwner;NumberCarsOwned;YearsSinceFirstPurchase;CloseToStore
11000;26;Jon V. Yang;50;Married;Male;90000;High;2;0;Bachelors;Professional;Yes;0;3;Yes
11001;37;Eugene L. Huang;45;Single;Male;60000;Average;3;3;Bachelors;Professional;No;1;3;Yes
11002;31;Ruben Torres;50;Married;Male;60000;Average;3;3;Bachelors;Professional;Yes;1;3;Yes
11003;11;Christy Zhu;48;Single;Female;70000;High;0;0;Bachelors;Professional;No;1;4;Yes
11004;19;Elizabeth Johnson;42;Single;Female;80000;High;5;5;Bachelors;Professional;Yes;4;3;Yes
11005;22;Julio Ruiz;45;Single;Male;70000;High;0;0;Bachelors;Professional;Yes;1;4;Yes
11006;8;Janet G. Alvarez;45;Single;Female;70000;High;0;0;Bachelors;Professional;Yes;1;3;Yes
11007;40;Marco Mehta;52;Married;Male;60000;Average;3;3;Bachelors;Professional;Yes;2;3;Yes
11008;32;Rob Verhoff;46;Single;Female;60000;Average;4;4;Bachelors;Professional;Yes;3;3;No
11009;25;Shannon C. Carlson;52;Single;Male;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11010;22;Jacquelyn C. Suarez;52;Single;Female;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11011;22;Curtis Lu;52;Married;Male;60000;Average;4;4;Bachelors;Professional;Yes;4;4;No
11012;611;Lauren M. Walker;42;Married;Female;100000;Very High;2;0;Bachelors;Management;Yes;2;1;Yes
11013;543;Ian M. Jenkins;42;Married;Male;100000;Very High;2;0;Bachelors;Management;Yes;3;1;Yes
11014;634;Sydney Bennett;48;Single;Female;100000;Very High;3;0;Bachelors;Management;No;3;1;Yes
11015;301;Chloe Young;37;Single;Female;30000;Very High;0;0;Partial College;Skilled Manual;No;1;1;Yes
11016;329;Wyatt L. Hill;37;Married;Male;30000;Very High;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11017;39;Shannon Wang;72;Single;Female;20000;Low;4;0;High School;Skilled Manual;Yes;2;3;Yes
11018;32;Clarence D. Rai;66;Single;Male;30000;Very High;2;0;Partial College;Clerical;Yes;2;3;Yes
11019;52;Luke L. Lal;38;Single;Male;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11020;53;Jordan C. King;37;Single;Male;40000;Average;0;0;High School;Skilled Manual;No;2;2;Yes
11021;536;Destiny Wilson;37;Single;Female;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11022;609;Ethan G. Zhang;37;Married;Male;40000;Average;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11023;298;Seth M. Edwards;37;Married;Male;40000;Average;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11024;311;Russell Xie;37;Married;Male;60000;Average;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11025;24;Alejandro Beck;70;Married;Male;10000;Low;2;1;Partial High School;Clerical;Yes;2;3;Yes
11026;4;Harold Sai;70;Single;Male;30000;Very High;2;0;Partial College;Clerical;No;2;3;Yes
11027;40;Jessie R. Zhao;69;Married;Male;30000;Very High;2;0;Partial College;Clerical;Yes;2;3;Yes
11028;17;Jill Jimenez;70;Married;Female;30000;Very High;2;0;Partial College;Clerical;Yes;2;3;Yes
11029;32;Jimmy L. Moreno;69;Married;Male;30000;Very High;2;0;Partial College;Clerical;Yes;2;3;Yes
11030;28;Bethany G. Yuan;63;Married;Female;10000;Low;2;1;Partial High School;Clerical;Yes;2;3;Yes
11031;8;Theresa G. Ramos;68;Married;Female;20000;Low;4;0;High School;Skilled Manual;Yes;2;3;Yes
11032;35;Denise Stone;69;Married;Female;20000;Low;4;0;High School;Skilled Manual;Yes;2;3;Yes
11033;9;Jaime Nath;63;Married;Male;20000;Low;4;0;High School;Skilled Manual;Yes;2;3;Yes
11034;12;Ebony Gonzalez;69;Married;Female;20000;Low;4;0;High School;Skilled Manual;Yes;2;3;Yes
11035;33;Wendy Dominguez;68;Married;Female;10000;Low;2;1;Partial High School;Clerical;Yes;2;3;Yes
11036;343;Jennifer C. Russell;37;Married;Female;60000;Average;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11037;49;Chloe M. Garcia;38;Single;Female;40000;Average;0;0;Partial High School;Clerical;No;2;1;Yes
11038;6;Diana F. Hernandez;68;Married;Female;10000;Low;2;1;Partial High School;Clerical;Yes;2;3;Yes
11039;19;Marc J. Martin;67;Married;Male;30000;Very High;3;0;Partial College;Clerical;Yes;2;3;Yes
11040;642;Jesse Murphy;38;Married;Male;30000;Very High;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11041;325;Amanda M. Carter;38;Married;Female;60000;Average;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11042;338;Megan J. Sanchez;39;Married;Female;70000;High;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11043;325;Nathan M. Simmons;40;Married;Male;60000;Average;0;0;Partial College;Skilled Manual;Yes;2;1;Yes
11044;25;Adam L. Flores;67;Married;Male;20000;Low;2;1;Partial High School;Clerical;Yes;2;3;Yes
11045;8;Leonard G. Nara;66;Single;Male;30000;Very High;3;0;High School;Skilled Manual;No;2;1;Yes
